"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Wykres 2.9: Procentowa zmiana łącznej wartości refundacji świadczeń udzielonych z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) w stosunku do 2013 r. wg form opieki","","","","","","","","","","",""
"Wykres 2.10: Wartość refundacji świadczeń udzielonych z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) w przeliczeniu na pacjenta (2013–2023)","","","","","","","","","","",""
"Tabela 2.11: Wartość refundacji świadczeń udzielonych z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) w poradniach psychiatrycznych w podziale na rodzaj porady (2013–2023)","","","","","","","","","","",""
"Tabela 2.12: Wartość refundacji porad lekarskich udzielonych z rozpoznaniem głównym depresji (F31.3–F31.6, F32, F33, F34.1, F34.8, F34.9, F38, F39 wg ICD-10) w poradniach psychiatrycznych w podziale na rodzaj porady (2013–2023)","","","","","","","","","","",""
"Wykres 2.11: Liczba pacjentów (w tys.) realizujących recepty na refundowane leki przeciwdepresyjne (2013–2023)","","","","","","","","","","",""
"Wykres 2.12: Liczba pacjentów (w tys.) poniżej 18 r.ż., którzy zrealizowali receptę na refundowane leki przeciwdepresyjne (2013–2023)","","","","","","","","","","",""
"Tabela 2.13: Struktura wieku i płci pacjentów realizujących recepty na refundowane leki przeciwdepresyjne (2013–2023)","","","","","","","","","","",""
"Wykres 2.13: Struktura wieku pacjentów realizujących recepty na refundowane leki przeciwdepresyjne (2013–2023)","","","","","","","","","","",""
"Wykres 2.14: Odsetek pacjentów zamieszkałych w miastach i gminach miejskich wśród pacjentów, którzy w 2023 r. zrealizowali co najmniej jedną receptę na refundowany lek przeciwdepresyjny","","","","","","","","","","",""
"Wykres 2.15: Odsetek osób, które w 2023 roku zrealizowały co najmniej jedną receptę na refundowany lek przeciwdepresyjny w stosunku do ludności województwa","","","","","","","","","","",""
"Wykres 2.16: Wartość refundacji oraz dopłat pacjentów dla refundowanych leków przeciwdepresyjnych (2013–2023)","","","","","","","","","","",""
"Wykres 2.17: Wartość średniej refundacji oraz średnich dopłat pacjentów do refundowanych leków przeciwdepresyjnych w przeliczeniu na pacjenta (2013–2023)","","","","","","","","","","",""
"Tabela 2.14: Realizacja recept na refundowane leki przeciwdepresyjne (2013–2023)","","","","","","","","","","",""
"Wykres 2.18: Liczba pacjentów (w tys.) realizująca recepty na refundowane leki przeciwdepresyjne według wyszczególnionych substancji czynnych (2013–2023)","","","","","","","","","","",""
"Tabela 2.15: Liczba pacjentów (w tys.) realizujących recepty na refundowane leki przeciwdepresyjne wg wyszczególnionych substancji (2013–2023)","","","","","","","","","","",""
"Wykres 2.19: Liczba pacjentów (w tys.) poniżej 18 r.ż., którzy zrealizowali recepty na refundowane leki przeciwdepresyjne według wyszczególnionych substancji czynnych (2013–2023)","","","","","","","","","","",""
"Wykres 2.20: Wartość refundacji (w mln zł) leków przeciwdepresyjnych w podziale na substancje czynne (2013–2023)","","","","","","","","","","",""
"Tabela 2.16: Wartość refundacji (w mln zł) leków przeciwdepresyjnych wg substancji czynnych (2013–2023)","","","","","","","","","","",""
"Tabela 2.17: Wartość dopłat pacjentów (w mln) do refundowanych leków przeciwdepresyjnych wg substancji czynnych (2013–2023)","","","","","","","","","","",""
"Wykres 2.21: Liczba DDD (w mln) dla refundowanych leków przeciwdepresyjnych w podziale na substancje czynne (2013–2023)","","","","","","","","","","",""
"Tabela 2.18: Miejsce wystawiania recept na refundowane leki przeciwdepresyjne (2023)","","","","","","","","","","",""
"Tabela 2.19: Świadczenia, w ramach których wystawiono receptę na refundowane leki przeciwdepresyjne (2023)","","","","","","","","","","",""
"Tabela 2.20: Świadczenia, w ramach których wystawiono receptę na refundowane leki przeciwdepresyjne i dla których sprawozdano rozpoznanie główne z grupy: Zaburzenia psychiczne i zaburzenia zachowania (F00-F99) (2023)","","","","","","","","","","",""
"Wykres 2.22: Recepty na refundowane leki przeciwdepresyjne a świadczenia udzielone z powodu zaburzeń psychicznych (F00-F99)","","","","","","","","","","",""
"Tabela 2.21: Informacje o realizacji recept na leki przeciwdepresyjne (refundowane i nierefundowane przez NFZ) (2019-2023)","","","","","","","","","","",""
"Wykres 2.23a: Struktura wieku pacjentów realizujących recepty na leki przeciwdepresyjne— leki refundowane i nierefundowane (2019-2023)","","","","","","","","","","",""
"Wykres 2.23b: Struktura płci pacjentów realizujących recepty na leki przeciwdepresyjne— leki refundowane i nierefundowane (2019-2023)","","","","","","","","","","",""
"Wykres 2.24a: Liczba opakowań na osobę ze względu na grupy wiekowe dla leków przeciwdepresyjnych — leki refundowane i nierefundowane (2019-2023)","","","","","","","","","","",""
"Wykres 2.24b: Liczba opakowań na osobę ze względu na płeć dla leków przeciwdepresyjnych — leki refundowane i nirefundowane (2019-2023)","","","","","","","","","","",""
"Wykres 2.25: Struktura liczby opakowań wg poziomów odpłatności pacjenta dla leków przeciwdepresyjnych—leki refundowane i nierefundowane (2019-2023)","","","","","","","","","","",""
"Tabela 2.21a: Realizacja recept na leki przeciwdepresyjne (refundowane i nierefundowane przez NFZ) wg dziesięciu najczęściej występujących substancji czynnych w danym roku (2019-2023)","","","","","","","","","","",""
"Wykres 2.26: Rozkład wieku pacjentów wybranych do analizy ciągłości farmakoterapii refundowanymi lekami przeciwdepresyjnym na przykładzie sertralinum – pacjenci rozpoczynający terapię substancją sertralinum w 2022 r.","","","","","","","","","","",""
"Tabela 2.22: Mediana długości leczenia lekiem refundowanym z substancją czynną sertralinum (czas pomiędzy datą realizacji pierwszej recepty a datą ...","","","","","","","","","","",""
"Wykres 2.27: Długość trwania farmakoterapii refundowanymi lekami przeciwdepresyjnymi zawierającymi substancję czynną sertralinum wg grup wiekowych","","","","","","","","","","",""
"Tabela 2.23: Długość trwania farmakoterapii refundowanymi lekami przeciwdepresyjnymi zawierającymi substancję czynną sertralinum wg grup wiekowych","","","","","","","","","","",""
"Wykres 2.28: Odsetki pacjentów, których farmakoterapia lekami refundowanymi z substancją sertralinum trwała co najmniej 180 dni według województw","","","","","","","","","","",""
"Wykres 2.29: Wskaźnik proporcji pokrycia dni (PDC, ang. proportion of days covered) lekami refundowanymi z sertralinum wg grup wiekowych","","","","","","","","","","",""
"Tabela 2.24: Wskaźnik proporcji pokrycia dni (PDC, ang. proportion of days covered) lekami refundowanymi z sertralinum wg grup wiekowych","","","","","","","","","","",""
"Wykres 3.1: Liczba zwolnień (w tys.) z tytułu choroby własnej z powodu dużej depresji—F32, F33 wg ICD-10 (2013–2023)","","","","","","","","","","",""
"Wykres 3.2: Liczba dni (w mln) zwolnień lekarskich z tytułu choroby własnej z powodu dużej depresji—F32, F33 wg ICD-10 (2013–2023)","","","","","","","","","","",""
"Wykres 3.3: Średnia długość zwolnienia (w dniach) z tytułu choroby własnej z powodu depresji—F32, F33 wg ICD-10 (2013–2023)","","","","","","","","","","",""
"Wykres 3.4: Odsetek orzeczeń z rozpoznaniem dużej depresji (F32, F33 wg ICD-10) wg kategorii stopnia niezdolności do pracy—kobiety (2013–2023)","","","","","","","","","","",""
"Wykres 3.5: Odsetek orzeczeń z rozpoznaniem dużej depresji (F32, F33 wg ICD-10) wg kategorii stopnia niezdolności do pracy—mężczyźni (2013–2023)","","","","","","","","","","",""
"Tabela 3.1: Liczba wystawionych orzeczeń z powodu ciężkiej depresji (F32, F33 wg ICD-10) w celach rentowych wg stopnia niezdolności do pracy (2013–2023)","","","","","","","","","","",""
"Wykres 3.6: Liczba ponownych orzeczeń o niezdolności do pracy z powodu dużej depresji (F32, F33 wg ICD-10) wystawionych dla celów rentowych wg płci (2013–2023)","","","","","","","","","","",""
"Wykres 3.7: Liczba orzeczeń z rozpoznaniem dużej depresji (F32, F33 wg ICD-10) wg kategorii stopnia niezdolności do pracy—kobiety (2013–2023)","","","","","","","","","","",""
"Wykres 3.8: Liczba orzeczeń z rozpoznaniem dużej depresji (F32, F33 wg ICD-10) wg kategorii stopnia niezdolności do pracy—mężczyźni (2013–2023)","","","","","","","","","","",""
"Wykres 1.1a: Odsetek osób chorych na depresję (F32, F33, F34.1 wg ICD-10) w wybranych krajach europejskich w roku 2014 i 2019","","","","","","","","","","",""
"Rok","Kraj","Odsetek ludności","Dolny przedział ufności odsetka ludności","Górny przedział ufności odsetka ludności","","","","","","",""
"2014","Austria","3.6999999999999998E-2","3.3000000000000002E-2","4.2999999999999997E-2","","","","","","",""
"2019","Austria","3.7999999999999999E-2","3.3000000000000002E-2","4.2999999999999997E-2","","","","","","",""
"2014","Belgia","4.1000000000000002E-2","3.6999999999999998E-2","4.7E-2","","","","","","",""
"2019","Belgia","4.1000000000000002E-2","3.5999999999999997E-2","4.5999999999999999E-2","","","","","","",""
"2014","Bułgaria","3.5000000000000003E-2","3.1E-2","4.1000000000000002E-2","","","","","","",""
"2019","Bułgaria","3.5999999999999997E-2","3.1E-2","4.1000000000000002E-2","","","","","","",""
"2014","Chorwacja","3.9E-2","3.4000000000000002E-2","4.3999999999999997E-2","","","","","","",""
"2019","Chorwacja","0.04","3.5000000000000003E-2","4.5999999999999999E-2","","","","","","",""
"2014","Cypr","3.5000000000000003E-2","3.1E-2","0.04","","","","","","",""
"2019","Cypr","3.5999999999999997E-2","3.1E-2","4.2000000000000003E-2","","","","","","",""
"2014","Czechy","3.6999999999999998E-2","3.2000000000000001E-2","4.2000000000000003E-2","","","","","","",""
"2019","Czechy","3.6999999999999998E-2","3.2000000000000001E-2","4.2000000000000003E-2","","","","","","",""
"2014","Dania","4.1000000000000002E-2","3.6999999999999998E-2","4.7E-2","","","","","","",""
"2019","Dania","4.1000000000000002E-2","3.6999999999999998E-2","4.7E-2","","","","","","",""
"2014","Estonia","4.8000000000000001E-2","4.2999999999999997E-2","5.5E-2","","","","","","",""
"2019","Estonia","4.9000000000000002E-2","4.2999999999999997E-2","5.6000000000000001E-2","","","","","","",""
"2014","Unia Europejska","4.2999999999999997E-2","3.9E-2","4.8000000000000001E-2","","","","","","",""
"2019","Unia Europejska","4.3999999999999997E-2","3.9E-2","4.8000000000000001E-2","","","","","","",""
"2014","Finlandia","4.8000000000000001E-2","4.2999999999999997E-2","5.2999999999999999E-2","","","","","","",""
"2019","Finlandia","4.7E-2","4.2000000000000003E-2","5.2999999999999999E-2","","","","","","",""
"2014","Francja","4.4999999999999998E-2","0.04","0.05","","","","","","",""
"2019","Francja","4.4999999999999998E-2","3.9E-2","0.05","","","","","","",""
"2014","Niemcy","4.2000000000000003E-2","3.7999999999999999E-2","4.5999999999999999E-2","","","","","","",""
"2019","Niemcy","4.1000000000000002E-2","3.5999999999999997E-2","4.5999999999999999E-2","","","","","","",""
"2014","Grecja","5.8999999999999997E-2","5.2999999999999999E-2","6.5000000000000002E-2","","","","","","",""
"2019","Grecja","6.2E-2","5.3999999999999999E-2","7.0999999999999994E-2","","","","","","",""
"2014","Węgry","3.6999999999999998E-2","3.2000000000000001E-2","4.2000000000000003E-2","","","","","","",""
"2019","Węgry","3.6999999999999998E-2","3.3000000000000002E-2","4.2999999999999997E-2","","","","","","",""
"2014","Islandia","3.2000000000000001E-2","2.8000000000000001E-2","3.6999999999999998E-2","","","","","","",""
"2019","Islandia","3.3000000000000002E-2","2.9000000000000001E-2","3.7999999999999999E-2","","","","","","",""
"2014","Irlandia","4.3999999999999997E-2","4.1000000000000002E-2","4.9000000000000002E-2","","","","","","",""
"2019","Irlandia","4.5999999999999999E-2","4.2000000000000003E-2","5.1999999999999998E-2","","","","","","",""
"2014","Włochy","4.3999999999999997E-2","3.9E-2","4.8000000000000001E-2","","","","","","",""
"2019","Włochy","4.4999999999999998E-2","0.04","4.9000000000000002E-2","","","","","","",""
"2014","Łotwa","4.9000000000000002E-2","4.3999999999999997E-2","5.5E-2","","","","","","",""
"2019","Łotwa","4.9000000000000002E-2","4.2999999999999997E-2","5.6000000000000001E-2","","","","","","",""
"2014","Litwa","5.1999999999999998E-2","4.5999999999999999E-2","5.8999999999999997E-2","","","","","","",""
"2019","Litwa","5.1999999999999998E-2","4.5999999999999999E-2","5.8999999999999997E-2","","","","","","",""
"2014","Luksemburg","3.6999999999999998E-2","3.3000000000000002E-2","4.2000000000000003E-2","","","","","","",""
"2019","Luksemburg","3.7999999999999999E-2","3.4000000000000002E-2","4.2999999999999997E-2","","","","","","",""
"2014","Malta","3.5999999999999997E-2","3.2000000000000001E-2","4.2000000000000003E-2","","","","","","",""
"2019","Malta","3.6999999999999998E-2","3.3000000000000002E-2","4.2999999999999997E-2","","","","","","",""
"2014","Holandia","4.1000000000000002E-2","3.5999999999999997E-2","4.4999999999999998E-2","","","","","","",""
"2019","Holandia","4.2000000000000003E-2","3.6999999999999998E-2","4.7E-2","","","","","","",""
"2014","Norwegia","3.5000000000000003E-2","3.2000000000000001E-2","3.9E-2","","","","","","",""
"2019","Norwegia","3.6999999999999998E-2","3.3000000000000002E-2","4.1000000000000002E-2","","","","","","",""
"2014","Polska","2.5999999999999999E-2","2.3E-2","2.9000000000000001E-2","","","","","","",""
"2019","Polska","2.8000000000000001E-2","2.5000000000000001E-2","3.2000000000000001E-2","","","","","","",""
"2014","Portugalia","5.3999999999999999E-2","4.9000000000000002E-2","5.8999999999999997E-2","","","","","","",""
"2019","Portugalia","5.6000000000000001E-2","4.9000000000000002E-2","6.4000000000000001E-2","","","","","","",""
"2014","Rumunia","3.3000000000000002E-2","2.9000000000000001E-2","3.7999999999999999E-2","","","","","","",""
"2019","Rumunia","3.4000000000000002E-2","2.9000000000000001E-2","3.9E-2","","","","","","",""
"2014","Słowacja","3.4000000000000002E-2","0.03","3.9E-2","","","","","","",""
"2019","Słowacja","3.4000000000000002E-2","0.03","3.9E-2","","","","","","",""
"2014","Słowenia","4.1000000000000002E-2","3.5999999999999997E-2","4.7E-2","","","","","","",""
"2019","Słowenia","4.1000000000000002E-2","3.5999999999999997E-2","4.7E-2","","","","","","",""
"2014","Hiszpania","5.3999999999999999E-2","0.05","0.06","","","","","","",""
"2019","Hiszpania","5.7000000000000002E-2","5.1999999999999998E-2","6.3E-2","","","","","","",""
"2014","Szwecja","4.8000000000000001E-2","4.3999999999999997E-2","5.2999999999999999E-2","","","","","","",""
"2019","Szwecja","4.7E-2","4.2999999999999997E-2","5.1999999999999998E-2","","","","","","",""
"2014","Szwajcaria","4.4999999999999998E-2","0.04","0.05","","","","","","",""
"2019","Szwajcaria","4.4999999999999998E-2","0.04","0.05","","","","","","",""
"2014","Wielka Brytania","4.8000000000000001E-2","4.2999999999999997E-2","5.2999999999999999E-2","","","","","","",""
"2019","Wielka Brytania","4.7E-2","4.2000000000000003E-2","5.2999999999999999E-2","","","","","","",""
"Źródło: opracowanie własne na podstawie danych Institute for Health Metrics and Evaluation (IHME)","","","","","","","","","","",""
"Powrót do spisu treści","","","","","","","","","","",""
"Wykres 1.1b: Standaryzowany wiekiem odsetek osób chorych na depresję (F32, F33, F34.1 wg ICD-10) w wybranych krajach europejskich w roku 2014 i 2019","","","","","","","","","","",""
"Rok","Kraj","Odsetek ludności","Dolny przedział ufności odsetka ludności","Górny przedział ufności odsetka ludności","","","","","","",""
"2014","Austria","3.1E-2","2.7E-2","3.5999999999999997E-2","","","","","","",""
"2019","Austria","3.1E-2","2.7E-2","3.5999999999999997E-2","","","","","","",""
"2014","Belgia","3.5999999999999997E-2","3.1E-2","0.04","","","","","","",""
"2019","Belgia","3.5000000000000003E-2","3.1E-2","4.1000000000000002E-2","","","","","","",""
"2014","Bułgaria","2.7E-2","2.4E-2","3.1E-2","","","","","","",""
"2019","Bułgaria","2.7E-2","2.3E-2","3.1E-2","","","","","","",""
"2014","Chorwacja","0.03","2.5999999999999999E-2","3.5000000000000003E-2","","","","","","",""
"2019","Chorwacja","0.03","2.5999999999999999E-2","3.4000000000000002E-2","","","","","","",""
"2014","Cypr","0.03","2.5999999999999999E-2","3.5000000000000003E-2","","","","","","",""
"2019","Cypr","3.1E-2","2.7E-2","3.5999999999999997E-2","","","","","","",""
"2014","Czechy","2.9000000000000001E-2","2.5999999999999999E-2","3.3000000000000002E-2","","","","","","",""
"2019","Czechy","2.9000000000000001E-2","2.5000000000000001E-2","3.3000000000000002E-2","","","","","","",""
"2014","Dania","3.5000000000000003E-2","3.1E-2","0.04","","","","","","",""
"2019","Dania","3.5000000000000003E-2","3.1E-2","0.04","","","","","","",""
"2014","Estonia","3.6999999999999998E-2","3.3000000000000002E-2","4.2000000000000003E-2","","","","","","",""
"2019","Estonia","3.6999999999999998E-2","3.3000000000000002E-2","4.2000000000000003E-2","","","","","","",""
"2014","Unia Europejska","3.5999999999999997E-2","3.2000000000000001E-2","0.04","","","","","","",""
"2019","Unia Europejska","3.5999999999999997E-2","3.2000000000000001E-2","0.04","","","","","","",""
"2014","Finlandia","4.2000000000000003E-2","3.6999999999999998E-2","4.7E-2","","","","","","",""
"2019","Finlandia","4.1000000000000002E-2","3.6999999999999998E-2","4.7E-2","","","","","","",""
"2014","Francja","3.9E-2","3.4000000000000002E-2","4.3999999999999997E-2","","","","","","",""
"2019","Francja","3.7999999999999999E-2","3.4000000000000002E-2","4.3999999999999997E-2","","","","","","",""
"2014","Niemcy","3.5000000000000003E-2","3.1E-2","3.9E-2","","","","","","",""
"2019","Niemcy","3.4000000000000002E-2","0.03","3.7999999999999999E-2","","","","","","",""
"2014","Grecja","4.8000000000000001E-2","4.2999999999999997E-2","5.3999999999999999E-2","","","","","","",""
"2019","Grecja","0.05","4.3999999999999997E-2","5.8000000000000003E-2","","","","","","",""
"2014","Węgry","2.8000000000000001E-2","2.5000000000000001E-2","3.3000000000000002E-2","","","","","","",""
"2019","Węgry","2.8000000000000001E-2","2.5000000000000001E-2","3.3000000000000002E-2","","","","","","",""
"2014","Islandia","2.9000000000000001E-2","2.5000000000000001E-2","3.4000000000000002E-2","","","","","","",""
"2019","Islandia","2.9000000000000001E-2","2.5999999999999999E-2","3.4000000000000002E-2","","","","","","",""
"2014","Irlandia","0.04","3.6999999999999998E-2","4.4999999999999998E-2","","","","","","",""
"2019","Irlandia","4.2000000000000003E-2","3.7999999999999999E-2","4.8000000000000001E-2","","","","","","",""
"2014","Włochy","3.5000000000000003E-2","3.1E-2","3.9E-2","","","","","","",""
"2019","Włochy","3.5999999999999997E-2","3.2000000000000001E-2","0.04","","","","","","",""
"2014","Łotwa","3.6999999999999998E-2","3.3000000000000002E-2","4.2000000000000003E-2","","","","","","",""
"2019","Łotwa","3.6999999999999998E-2","3.3000000000000002E-2","4.2999999999999997E-2","","","","","","",""
"2014","Litwa","0.04","3.5999999999999997E-2","4.5999999999999999E-2","","","","","","",""
"2019","Litwa","0.04","3.5000000000000003E-2","4.4999999999999998E-2","","","","","","",""
"2014","Luksemburg","3.2000000000000001E-2","2.9000000000000001E-2","3.6999999999999998E-2","","","","","","",""
"2019","Luksemburg","3.2000000000000001E-2","2.9000000000000001E-2","3.6999999999999998E-2","","","","","","",""
"2014","Malta","0.03","2.5999999999999999E-2","3.5000000000000003E-2","","","","","","",""
"2019","Malta","3.1E-2","2.7E-2","3.5999999999999997E-2","","","","","","",""
"2014","Holandia","3.5000000000000003E-2","3.1E-2","3.9E-2","","","","","","",""
"2019","Holandia","3.5000000000000003E-2","3.1E-2","4.1000000000000002E-2","","","","","","",""
"2014","Norwegia","3.1E-2","2.8000000000000001E-2","3.5000000000000003E-2","","","","","","",""
"2019","Norwegia","3.2000000000000001E-2","2.9000000000000001E-2","3.5999999999999997E-2","","","","","","",""
"2014","Polska","2.1000000000000001E-2","1.9E-2","2.4E-2","","","","","","",""
"2019","Polska","2.3E-2","0.02","2.5000000000000001E-2","","","","","","",""
"2014","Portugalia","4.3999999999999997E-2","0.04","4.8000000000000001E-2","","","","","","",""
"2019","Portugalia","4.3999999999999997E-2","3.7999999999999999E-2","0.05","","","","","","",""
"2014","Rumunia","2.5999999999999999E-2","2.3E-2","3.1E-2","","","","","","",""
"2019","Rumunia","2.7E-2","2.3E-2","3.1E-2","","","","","","",""
"2014","Słowacja","2.7E-2","2.4E-2","3.1E-2","","","","","","",""
"2019","Słowacja","2.7E-2","2.4E-2","3.1E-2","","","","","","",""
"2014","Słowenia","3.1E-2","2.7E-2","3.5999999999999997E-2","","","","","","",""
"2019","Słowenia","3.1E-2","2.7E-2","3.5999999999999997E-2","","","","","","",""
"2014","Hiszpania","4.4999999999999998E-2","4.1000000000000002E-2","0.05","","","","","","",""
"2019","Hiszpania","4.7E-2","4.2000000000000003E-2","5.1999999999999998E-2","","","","","","",""
"2014","Szwecja","4.1000000000000002E-2","3.6999999999999998E-2","4.5999999999999999E-2","","","","","","",""
"2019","Szwecja","4.1000000000000002E-2","3.6999999999999998E-2","4.5999999999999999E-2","","","","","","",""
"2014","Szwajcaria","3.6999999999999998E-2","3.3000000000000002E-2","4.2000000000000003E-2","","","","","","",""
"2019","Szwajcaria","3.6999999999999998E-2","3.3000000000000002E-2","4.2000000000000003E-2","","","","","","",""
"2014","Wielka Brytania","4.1000000000000002E-2","3.6999999999999998E-2","4.5999999999999999E-2","","","","","","",""
"2019","Wielka Brytania","4.1000000000000002E-2","3.5999999999999997E-2","4.5999999999999999E-2","","","","","","",""
"Źródło: opracowanie własne na podstawie danych Institute for Health Metrics and Evaluation (IHME)","","","","","","","","","","",""
"Powrót do spisu treści","","","","","","","","","","",""
"Wykres 1.2: Liczba osób chorych na depresję (F32, F33, F34.1 wg ICD-10) w Polsce (2000-2019) jako odsetek ludności (lewy wykres) i w wartościach bezwzględnych (prawy wykres)","","","","","","","","","","",""
"Rok","Płeć","Odsetek ludności","Dolny przedział ufności odsetka ludności","Górny przedział ufności odsetka ludności","Liczba (w tys.)","Dolny przedział ufności liczby (w tys.)","Górny przedział ufności liczby (w tys.)","","","",""
"2000","Kobiety","0.03","2.7E-2","3.4000000000000002E-2","598.79999999999995","536.20000000000005","669.2","","","",""
"2000","Mężczyźni","2.1999999999999999E-2","0.02","2.5000000000000001E-2","410.7","364.1","460.6","","","",""
"2001","Kobiety","0.03","2.7E-2","3.4000000000000002E-2","598","535.5","670","","","",""
