Sygnatura czasowa,Wybierz jedną z opcji,Gdzie jest więcej książek?,Gdzie jest więcej książek?,Gdzie jest mniej książek?,Gdzie jest więcej książek?,Gdzie jest więcej książek?,Gdzie jest mniej książek?,Gdzie jest więcej książek?,Gdzie jest więcej książek?,Gdzie jest mniej książek?,Który wykres Twoim zdaniem jest najbardziej czytelny?,"Jak masz jakieś konstruktywne (albo nie) komentarze dotyczące wykresów, to to jest miejsce na to:","Jak chcesz się przyznać, kim jesteś, to to jest miejsce na to:"
2025-05-04 19:06:46,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",,
2025-05-04 19:08:30,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)","jestem zdecydowanie najmniej przychylna wykresowi pie chart ze względu na odczuwalny brak wartości liczbowych oraz walorów estetycznych. Wśród nich możemy wyróżnić nadmierne rozbudowanie przypisów do każdej z wartości, co sprzyja możliwości ich błędnego odczytania oraz brak pogrupowania wartości. Podsumowując, wykres pie chart jest chujowy i wkurwia mnie samo patrzenie na niego.",myślę że wiesz kim jestem po mojej pełnej erudycji wypowiedzi wyżej  
2025-05-04 19:17:05,a,brązowa szafa górna półka,biała szafa środkowa półka,biurko górna półka,,,,,,,"grouped barplot (po prawej, na górze)",Nie lubię wykresów... ,
2025-05-04 19:17:09,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)","w powyższym pytaniu uważam obie dolne opcje za poprawne, gdyż wykres stacked barplot jest czytelniejszy, ponieważ wizualnie przypomina owe półki w szafach i tudzież biurkach, jednak wykres grouped barplot będzie bardziej czytelny (czy też użyteczny) w kontekście poprzednich pytań, z tego powodu, że trzeba w nich było porównać ilość książek na półkach, a te wartości są tu wyraźniejsze ","chcę się przyznać, ale też chcę, żebyś zgadła i chcę też wiedzieć, które trzy pytania się liczyły (obstawiam że o porównanie liczby książek) "
2025-05-04 19:17:14,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa dolna półka,,,,"grouped barplot (po prawej, na górze)",w wykresie kołowym wycinki koła powinny być posortowane malejąco,brat ewy
2025-05-04 19:17:52,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa dolna półka,,,,,,,pie chart (po lewej),,Sean.
2025-05-04 19:23:57,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",,
2025-05-04 19:33:16,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"stacked barplot (po prawej, na dole)",,
2025-05-04 19:48:11,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)","stacked barplot jest trochę nieczytelny przez to że poszczególne elementy nie zaczynają się od zera, tylko jeden jest na drugim i człowiek próbuje dedukować ile to [wstaw coś co zaczyna się nieco powyżej 20, a kończy nieco niżej niż 30, dla przykładu]",
2025-05-04 19:49:40,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"stacked barplot (po prawej, na dole)",,
2025-05-04 19:55:53,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,pie chart (po lewej),,pineska345 
2025-05-04 20:02:20,inna odpowiedź,,,,,,,brązowa szafa górna półka,biała szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)","Rany boskie, do czego stosuje się w praktyce ten stacked barplot, poza torturami w najniższym kręgu piekła Dantego","Znajomy znajomej, który dostał od wspólnego znajomego, pozdrawiam, pięknego dnia życzę"
2025-05-04 20:02:46,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biurko górna półka,,,,,,,"grouped barplot (po prawej, na górze)","stacked jest przyjemniejszy dla oka, ale grouped milszy jest mojemu ocd i ogólnym możliwościom dokładnego porównywania liczb, a nie tylko zerknięciu raz w przelocie. pie chart jest horrendalny w każdym wydaniu",człowiekiem znużonym
2025-05-04 20:23:41,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)","Myślę, że pie chart byłby bardziej czytelny z wartościami procentowymi przy kawałkach.",eeeeeee?
2025-05-04 20:26:05,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",,
2025-05-04 20:29:18,inna odpowiedź,,,,,,,brązowa szafa górna półka,biała szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",Musi byc no,
2025-05-04 20:29:43,opcja 2,,,,brązowa szafa górna półka,biała szafa środkowa półka,biała szafa dolna półka,,,,pie chart (po lewej),,
2025-05-04 20:30:36,a,brązowa szafa dolna półka,biała szafa środkowa półka,biała szafa dolna półka,,,,,,,pie chart (po lewej),Kocham pie chart,Piechartlover69
2025-05-04 20:41:08,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",Nie lubię wykresów ,
2025-05-04 20:54:39,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa dolna półka,,,,"grouped barplot (po prawej, na górze)",,"Taintickler 2-1, reporting in."
2025-05-04 20:57:36,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",,
2025-05-04 21:10:36,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",,
2025-05-04 21:16:49,inna odpowiedź,,,,,,,brązowa szafa górna półka,biała szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",,
2025-05-04 21:21:47,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",,
2025-05-04 22:04:35,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",,
2025-05-04 22:38:24,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"stacked barplot (po prawej, na dole)","Wykres po prawej na dole pokazuje oprócz liczby książek na polkach, pokazuje w łatwy sposób liczbę książek w danym obiekcie. Gdyby półek było więcej, sporo trudniej byłoby porównywać ilość książek na nich jednak z taką jak tu liczbą danych, wykres ten jest w mojej opinii najlepszy.",Filip
2025-05-04 22:41:33,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"stacked barplot (po prawej, na dole)",,
2025-05-05 07:14:20,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",,
2025-05-05 12:15:45,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",,
2025-05-05 15:42:02,a,brązowa szafa górna półka,biurko dolna półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",,
2025-05-05 15:42:35,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",śmieszne to jest :),
2025-05-05 15:42:50,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",O co tu chodzi? ,Pozdrów mamę 
2025-05-05 15:43:47,a,brązowa szafa górna półka,biała szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",A,
2025-05-05 15:51:30,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biurko górna półka,,,,pie chart (po lewej),,
2025-05-05 15:58:44,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",,Informatykiem
2025-05-05 16:09:10,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"stacked barplot (po prawej, na dole)",Nie,Chcę
2025-05-05 16:13:27,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"stacked barplot (po prawej, na dole)",,
2025-05-05 16:19:07,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)","Zależy jaki cel ma mieć wykres, proporcje liczby książek najlepiej widać z pie chart z grouped barplot najłatwiej odczytać bezwzględne wartości, a z stack barplot wartości dla całych szaf/biurek i też widać proporcje. Więc na pytanie który wykres jest najbardziej czytelny najlepszą odpowiedzią będzie to zależy",
2025-05-05 16:23:40,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)","Podpis ilości na półkach w stacked barplocie, to by było najczytelniej imo",Świnką morską 
2025-05-05 16:30:06,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biurko górna półka,,,,,,,"stacked barplot (po prawej, na dole)",,
2025-05-05 16:51:17,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",W opcji grouped barplot najłatwiej porównać wielkości,"Romantyk podrywacz, ten starszy xd"
2025-05-05 17:28:59,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",Pie chart byłby bardziej czytelny gdyby był posegregowany malejąco ,Kasia T
2025-05-05 17:45:12,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"grouped barplot (po prawej, na górze)",,dodo
2025-05-05 20:50:32,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",,
2025-05-06 09:35:31,inna odpowiedź,,,,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,"stacked barplot (po prawej, na dole)",Jestem (nie) konstruktywnym komentarzem,Jan Novak-Zempliński 
2025-05-06 10:20:36,a,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,,,,"grouped barplot (po prawej, na górze)",Pie chart is the die chart,We know what we know 
2025-05-06 10:54:51,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",,
2025-05-06 13:24:30,opcja 2,,,,brązowa szafa górna półka,biała szafa środkowa półka,biała szafa górna półka,,,,"stacked barplot (po prawej, na dole)","Który wykres jest bardziej czytelny zależy jaki punkt odniesienia - największy udział w całości, czy jednostkowe porównanie części lub grup. Dodatkowo gdy kategorie były typu górna/dolna - stacked barplot jest bardziej intuicyjny w określaniu, której kategorii dotyczy. Ale do określania szczegółowych różnic konkretnych kategorii lepszy jest grouped barplot",
2025-05-07 16:22:40,a,brązowa szafa górna półka,biała szafa środkowa półka,biurko górna półka,,,,,,,"grouped barplot (po prawej, na górze)",,Aga
2025-05-09 12:47:28,opcja 2,,,,brązowa szafa górna półka,brązowa szafa środkowa półka,biała szafa górna półka,,,,"grouped barplot (po prawej, na górze)",Jebać TVP Info,Jestem potworem z najgłębszych jaskiń NaroZ
