"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration"
44,"technician","married","secondary","no",0,"yes","no","unknown",5,"may",225
55,"technician","divorced","secondary","no",0,"no","no","unknown",5,"may",160
29,"management","single","tertiary","no",0,"yes","no","unknown",5,"may",363
54,"blue-collar","married","secondary","no",1291,"yes","no","unknown",5,"may",266
48,"management","divorced","tertiary","no",-244,"yes","no","unknown",5,"may",253
32,"management","married","tertiary","no",0,"yes","no","unknown",5,"may",179
42,"admin.","single","secondary","no",-76,"yes","no","unknown",5,"may",787
24,"technician","single","secondary","no",-103,"yes","yes","unknown",5,"may",145
38,"entrepreneur","single","tertiary","no",243,"no","yes","unknown",5,"may",174
38,"management","single","tertiary","no",424,"yes","no","unknown",5,"may",104
47,"blue-collar","married","unknown","no",306,"yes","no","unknown",5,"may",13
40,"blue-collar","single","unknown","no",24,"yes","no","unknown",5,"may",185
46,"services","married","primary","no",179,"yes","no","unknown",5,"may",1778
32,"admin.","married","tertiary","no",0,"yes","no","unknown",5,"may",138
53,"technician","divorced","secondary","no",989,"yes","no","unknown",5,"may",812
57,"blue-collar","married","primary","no",249,"yes","no","unknown",5,"may",164
33,"services","married","secondary","no",790,"yes","no","unknown",5,"may",391
49,"blue-collar","married","unknown","no",154,"yes","no","unknown",5,"may",357
51,"management","married","tertiary","no",6530,"yes","no","unknown",5,"may",91
60,"retired","married","tertiary","no",100,"no","no","unknown",5,"may",528
59,"management","divorced","tertiary","no",59,"yes","no","unknown",5,"may",273
55,"technician","married","secondary","no",1205,"yes","no","unknown",5,"may",158
35,"blue-collar","single","secondary","no",12223,"yes","yes","unknown",5,"may",177
57,"blue-collar","married","secondary","no",5935,"yes","yes","unknown",5,"may",258
31,"services","married","secondary","no",25,"yes","yes","unknown",5,"may",172
54,"management","married","secondary","no",282,"yes","yes","unknown",5,"may",154
55,"blue-collar","married","primary","no",23,"yes","no","unknown",5,"may",291
43,"technician","married","secondary","no",1937,"yes","no","unknown",5,"may",181
53,"technician","married","secondary","no",384,"yes","no","unknown",5,"may",176
44,"blue-collar","married","secondary","no",582,"no","yes","unknown",5,"may",211
55,"services","divorced","secondary","no",91,"no","no","unknown",5,"may",349
49,"services","divorced","secondary","no",0,"yes","yes","unknown",5,"may",272
55,"services","divorced","secondary","yes",1,"yes","no","unknown",5,"may",208
45,"admin.","single","secondary","no",206,"yes","no","unknown",5,"may",193
47,"services","divorced","secondary","no",164,"no","no","unknown",5,"may",212
42,"technician","single","secondary","no",690,"yes","no","unknown",5,"may",20
59,"admin.","married","secondary","no",2343,"yes","no","unknown",5,"may",1042
46,"self-employed","married","tertiary","no",137,"yes","yes","unknown",5,"may",246
51,"blue-collar","married","primary","no",173,"yes","no","unknown",5,"may",529
56,"admin.","married","secondary","no",45,"no","no","unknown",5,"may",1467
41,"technician","married","secondary","no",1270,"yes","no","unknown",5,"may",1389
46,"management","divorced","secondary","no",16,"yes","yes","unknown",5,"may",188
57,"retired","married","secondary","no",486,"yes","no","unknown",5,"may",180
42,"management","single","secondary","no",50,"no","no","unknown",5,"may",48
30,"technician","married","secondary","no",152,"yes","yes","unknown",5,"may",213
60,"admin.","married","secondary","no",290,"yes","no","unknown",5,"may",583
60,"blue-collar","married","unknown","no",54,"yes","no","unknown",5,"may",221
57,"entrepreneur","divorced","secondary","no",-37,"no","no","unknown",5,"may",173
36,"management","married","tertiary","no",101,"yes","yes","unknown",5,"may",426
55,"blue-collar","married","secondary","no",383,"no","no","unknown",5,"may",287
60,"retired","married","tertiary","no",81,"yes","no","unknown",5,"may",101
39,"technician","married","secondary","no",0,"yes","no","unknown",5,"may",203
46,"management","married","tertiary","no",229,"yes","no","unknown",5,"may",197
44,"blue-collar","married","secondary","no",-674,"yes","no","unknown",5,"may",257
53,"blue-collar","married","primary","no",90,"no","no","unknown",5,"may",124
52,"blue-collar","married","primary","no",128,"yes","no","unknown",5,"may",229
59,"blue-collar","married","primary","no",179,"yes","no","unknown",5,"may",55
27,"technician","single","tertiary","no",0,"yes","no","unknown",5,"may",400
44,"blue-collar","married","secondary","no",54,"yes","no","unknown",5,"may",197
47,"technician","married","tertiary","no",151,"yes","no","unknown",5,"may",190
34,"admin.","married","secondary","no",61,"no","yes","unknown",5,"may",21
59,"retired","single","secondary","no",30,"yes","no","unknown",5,"may",514
45,"management","married","tertiary","no",523,"yes","no","unknown",5,"may",849
29,"services","divorced","secondary","no",31,"yes","no","unknown",5,"may",194
46,"technician","divorced","secondary","no",79,"no","no","unknown",5,"may",144
56,"self-employed","married","primary","no",-34,"yes","yes","unknown",5,"may",212
36,"blue-collar","married","primary","no",448,"yes","no","unknown",5,"may",286
59,"retired","divorced","primary","no",81,"yes","no","unknown",5,"may",107
44,"blue-collar","married","secondary","no",144,"yes","no","unknown",5,"may",247
41,"admin.","married","secondary","no",351,"yes","no","unknown",5,"may",518
33,"management","single","tertiary","no",-67,"yes","no","unknown",5,"may",364
59,"management","divorced","tertiary","no",262,"no","no","unknown",5,"may",178
57,"technician","married","primary","no",0,"no","no","unknown",5,"may",98
56,"technician","divorced","unknown","no",56,"yes","no","unknown",5,"may",439
51,"blue-collar","married","secondary","no",26,"yes","no","unknown",5,"may",79
34,"admin.","married","unknown","no",3,"yes","no","unknown",5,"may",120
43,"services","married","secondary","no",41,"yes","yes","unknown",5,"may",127
52,"technician","married","tertiary","no",7,"no","yes","unknown",5,"may",175
33,"technician","single","secondary","no",105,"yes","no","unknown",5,"may",262
29,"admin.","single","secondary","no",818,"yes","yes","unknown",5,"may",61
34,"services","married","secondary","no",-16,"yes","yes","unknown",5,"may",78
31,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",143
55,"services","married","secondary","no",2476,"yes","no","unknown",5,"may",579
55,"management","married","unknown","no",1185,"no","no","unknown",5,"may",677
32,"admin.","single","secondary","no",217,"yes","no","unknown",5,"may",345
38,"technician","single","secondary","no",1685,"yes","no","unknown",5,"may",185
55,"admin.","single","secondary","no",802,"yes","yes","unknown",5,"may",100
28,"unemployed","single","tertiary","no",0,"yes","no","unknown",5,"may",125
23,"blue-collar","married","secondary","no",94,"yes","no","unknown",5,"may",193
32,"technician","single","secondary","no",0,"yes","no","unknown",5,"may",136
43,"services","single","unknown","no",0,"no","no","unknown",5,"may",73
32,"blue-collar","married","secondary","no",517,"yes","no","unknown",5,"may",528
46,"blue-collar","married","secondary","no",265,"yes","no","unknown",5,"may",541
53,"housemaid","divorced","primary","no",947,"yes","no","unknown",5,"may",163
34,"self-employed","single","secondary","no",3,"yes","no","unknown",5,"may",301
57,"unemployed","married","tertiary","no",42,"no","no","unknown",5,"may",46
37,"blue-collar","married","secondary","no",37,"yes","no","unknown",5,"may",204
59,"blue-collar","married","secondary","no",57,"yes","no","unknown",5,"may",98
33,"services","married","secondary","no",22,"yes","no","unknown",5,"may",71
56,"blue-collar","divorced","primary","no",8,"yes","no","unknown",5,"may",157
48,"unemployed","married","secondary","no",293,"yes","no","unknown",5,"may",243
43,"services","married","primary","no",3,"yes","no","unknown",5,"may",186
54,"blue-collar","married","primary","no",348,"yes","no","unknown",5,"may",579
51,"blue-collar","married","unknown","no",-19,"yes","no","unknown",5,"may",163
26,"student","single","secondary","no",0,"yes","no","unknown",5,"may",610
40,"management","married","tertiary","no",-4,"yes","no","unknown",5,"may",2033
39,"management","married","secondary","no",18,"yes","no","unknown",5,"may",85
50,"technician","married","primary","no",139,"no","no","unknown",5,"may",114
41,"services","married","secondary","no",0,"yes","no","unknown",5,"may",114
51,"blue-collar","married","unknown","no",1883,"yes","no","unknown",5,"may",57
60,"retired","divorced","secondary","no",216,"yes","no","unknown",5,"may",238
52,"blue-collar","married","secondary","no",782,"yes","no","unknown",5,"may",93
48,"blue-collar","married","secondary","no",904,"yes","no","unknown",5,"may",128
48,"services","married","unknown","no",1705,"yes","no","unknown",5,"may",107
39,"technician","single","tertiary","no",47,"yes","no","unknown",5,"may",181
47,"services","single","secondary","no",176,"yes","no","unknown",5,"may",303
40,"blue-collar","married","secondary","no",1225,"yes","no","unknown",5,"may",558
45,"technician","married","secondary","no",86,"yes","no","unknown",5,"may",270
26,"admin.","single","secondary","no",82,"yes","no","unknown",5,"may",228
52,"management","married","tertiary","no",271,"yes","no","unknown",5,"may",99
54,"technician","married","secondary","no",1378,"yes","no","unknown",5,"may",240
54,"admin.","married","tertiary","no",184,"no","no","unknown",5,"may",673
50,"blue-collar","married","primary","no",0,"no","no","unknown",5,"may",233
35,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",1056
44,"services","married","secondary","no",1357,"yes","yes","unknown",5,"may",250
53,"entrepreneur","married","unknown","no",19,"yes","no","unknown",5,"may",252
35,"retired","single","primary","no",434,"no","no","unknown",5,"may",138
60,"admin.","divorced","secondary","no",92,"yes","no","unknown",5,"may",130
53,"admin.","divorced","secondary","no",1151,"yes","no","unknown",5,"may",412
48,"unemployed","married","secondary","no",41,"yes","no","unknown",5,"may",179
34,"technician","married","secondary","no",51,"yes","no","unknown",5,"may",19
54,"services","married","secondary","no",214,"yes","no","unknown",5,"may",458
51,"management","married","secondary","no",1161,"yes","no","unknown",5,"may",717
31,"services","married","tertiary","no",37,"yes","no","unknown",5,"may",313
35,"technician","divorced","secondary","no",787,"yes","no","unknown",5,"may",683
35,"services","married","secondary","no",59,"yes","no","unknown",5,"may",1077
38,"technician","married","secondary","no",253,"yes","no","unknown",5,"may",416
36,"admin.","married","tertiary","no",211,"yes","no","unknown",5,"may",146
58,"retired","married","primary","no",235,"yes","no","unknown",5,"may",167
40,"services","divorced","unknown","no",4384,"yes","no","unknown",5,"may",315
54,"management","married","secondary","no",4080,"no","no","unknown",5,"may",140
34,"blue-collar","single","secondary","no",53,"yes","yes","unknown",5,"may",346
31,"management","single","tertiary","no",0,"yes","no","unknown",5,"may",562
51,"retired","married","secondary","no",2127,"yes","no","unknown",5,"may",172
33,"management","married","tertiary","no",377,"yes","no","unknown",5,"may",217
55,"management","married","tertiary","no",73,"yes","no","unknown",5,"may",142
42,"admin.","married","secondary","no",445,"yes","no","unknown",5,"may",67
34,"blue-collar","married","secondary","no",243,"yes","no","unknown",5,"may",291
33,"blue-collar","single","secondary","no",307,"yes","no","unknown",5,"may",309
38,"services","married","secondary","no",155,"yes","no","unknown",5,"may",248
50,"technician","divorced","tertiary","no",173,"no","yes","unknown",5,"may",98
43,"management","married","tertiary","no",400,"yes","no","unknown",5,"may",256
61,"blue-collar","divorced","primary","no",1428,"yes","no","unknown",5,"may",82
47,"admin.","married","secondary","no",219,"yes","no","unknown",5,"may",577
48,"self-employed","married","tertiary","no",7,"yes","no","unknown",5,"may",286
44,"blue-collar","married","secondary","no",575,"yes","no","unknown",5,"may",477
35,"student","single","unknown","no",298,"yes","no","unknown",5,"may",611
35,"services","married","secondary","no",0,"yes","no","unknown",5,"may",471
50,"services","married","secondary","no",5699,"yes","no","unknown",5,"may",381
41,"management","married","tertiary","no",176,"yes","yes","unknown",5,"may",42
41,"management","married","tertiary","no",517,"yes","no","unknown",5,"may",251
39,"services","single","unknown","no",257,"yes","no","unknown",5,"may",408
42,"retired","married","secondary","no",56,"yes","no","unknown",5,"may",215
38,"blue-collar","married","secondary","no",-390,"yes","no","unknown",5,"may",287
53,"retired","married","secondary","no",330,"yes","no","unknown",5,"may",216
59,"housemaid","divorced","primary","no",195,"no","no","unknown",5,"may",366
36,"services","married","secondary","no",301,"yes","no","unknown",5,"may",210
54,"blue-collar","married","primary","no",-41,"yes","no","unknown",5,"may",288
40,"technician","married","tertiary","no",483,"yes","no","unknown",5,"may",168
47,"unknown","married","unknown","no",28,"no","no","unknown",5,"may",338
53,"unemployed","married","unknown","no",13,"no","no","unknown",5,"may",410
46,"housemaid","married","primary","no",965,"no","no","unknown",5,"may",177
39,"management","married","tertiary","no",378,"yes","yes","unknown",5,"may",127
40,"unemployed","married","secondary","no",219,"yes","no","unknown",5,"may",357
28,"blue-collar","married","primary","no",324,"yes","no","unknown",5,"may",175
35,"entrepreneur","divorced","secondary","no",-69,"yes","no","unknown",5,"may",300
55,"retired","married","secondary","no",0,"no","yes","unknown",5,"may",136
43,"technician","divorced","unknown","no",205,"yes","no","unknown",5,"may",1419
48,"blue-collar","married","primary","no",278,"yes","no","unknown",5,"may",125
58,"management","married","unknown","no",1065,"yes","no","unknown",5,"may",213
33,"management","single","tertiary","no",34,"yes","no","unknown",5,"may",27
36,"blue-collar","married","unknown","no",1033,"no","no","unknown",5,"may",238
53,"services","divorced","secondary","no",1467,"yes","no","unknown",5,"may",124
47,"blue-collar","married","primary","no",-12,"yes","no","unknown",5,"may",18
31,"services","married","secondary","no",388,"yes","no","unknown",5,"may",730
57,"entrepreneur","married","secondary","no",294,"yes","no","unknown",5,"may",746
53,"blue-collar","married","unknown","no",1827,"no","no","unknown",5,"may",121
55,"blue-collar","married","primary","no",627,"yes","no","unknown",5,"may",247
45,"blue-collar","married","primary","no",25,"yes","no","unknown",5,"may",40
53,"admin.","divorced","secondary","no",315,"yes","no","unknown",5,"may",181
37,"blue-collar","married","primary","no",0,"yes","no","unknown",5,"may",79
44,"admin.","divorced","secondary","no",66,"yes","no","unknown",5,"may",206
49,"blue-collar","divorced","primary","no",-9,"yes","yes","unknown",5,"may",389
46,"technician","married","secondary","no",349,"yes","yes","unknown",5,"may",127
43,"entrepreneur","married","unknown","no",100,"yes","no","unknown",5,"may",702
38,"admin.","married","secondary","no",0,"no","no","unknown",5,"may",151
43,"technician","married","secondary","no",434,"yes","no","unknown",5,"may",117
49,"management","married","tertiary","no",3237,"yes","no","unknown",5,"may",232
42,"management","married","unknown","no",275,"no","no","unknown",5,"may",408
22,"blue-collar","single","secondary","no",0,"yes","no","unknown",5,"may",179
40,"management","married","tertiary","no",207,"yes","no","unknown",5,"may",39
39,"blue-collar","married","secondary","no",483,"yes","no","unknown",5,"may",282
51,"services","married","secondary","no",2248,"yes","no","unknown",5,"may",714
49,"admin.","married","secondary","no",428,"yes","no","unknown",5,"may",50
53,"blue-collar","married","secondary","no",0,"yes","yes","unknown",5,"may",181
34,"services","single","secondary","no",0,"yes","no","unknown",5,"may",142
33,"technician","divorced","secondary","no",140,"yes","no","unknown",5,"may",227
50,"management","single","tertiary","no",297,"yes","no","unknown",5,"may",119
39,"blue-collar","married","primary","no",279,"yes","no","unknown",5,"may",361
59,"entrepreneur","divorced","secondary","no",901,"yes","no","unknown",5,"may",73
30,"technician","single","secondary","no",2573,"yes","no","unknown",5,"may",67
36,"services","married","secondary","no",143,"yes","yes","unknown",5,"may",350
40,"blue-collar","married","secondary","no",475,"yes","no","unknown",5,"may",332
53,"blue-collar","married","secondary","no",70,"yes","no","unknown",5,"may",611
34,"management","single","tertiary","no",318,"yes","no","unknown",5,"may",113
37,"technician","married","secondary","no",275,"yes","no","unknown",5,"may",132
42,"management","divorced","tertiary","no",742,"yes","no","unknown",5,"may",58
41,"entrepreneur","married","primary","no",236,"yes","no","unknown",5,"may",151
30,"student","single","tertiary","no",25,"yes","no","unknown",5,"may",89
37,"management","single","tertiary","no",600,"yes","no","unknown",5,"may",152
39,"admin.","divorced","secondary","no",-349,"yes","no","unknown",5,"may",611
41,"blue-collar","married","primary","no",183,"yes","yes","unknown",5,"may",110
40,"blue-collar","married","primary","no",0,"yes","no","unknown",5,"may",463
42,"management","single","tertiary","no",0,"yes","yes","unknown",5,"may",562
40,"blue-collar","divorced","primary","no",0,"yes","no","unknown",5,"may",962
57,"technician","married","secondary","no",1078,"yes","no","unknown",5,"may",10
56,"entrepreneur","divorced","secondary","no",155,"no","no","unknown",5,"may",118
37,"admin.","married","secondary","no",190,"yes","no","unknown",5,"may",92
59,"retired","married","secondary","no",319,"yes","no","unknown",5,"may",143
39,"services","divorced","secondary","no",-185,"yes","no","unknown",5,"may",189
49,"services","married","secondary","no",47,"no","no","unknown",5,"may",234
38,"services","single","secondary","no",570,"yes","no","unknown",5,"may",75
36,"self-employed","married","tertiary","no",19,"no","no","unknown",5,"may",189
50,"blue-collar","married","primary","no",61,"yes","no","unknown",5,"may",621
41,"admin.","married","secondary","no",-62,"yes","yes","unknown",5,"may",55
54,"technician","married","tertiary","no",258,"no","no","unknown",5,"may",310
58,"blue-collar","married","primary","no",76,"yes","no","unknown",5,"may",156
30,"blue-collar","single","secondary","no",0,"yes","no","unknown",5,"may",5
33,"admin.","single","secondary","no",352,"yes","no","unknown",5,"may",225
47,"admin.","married","secondary","no",368,"yes","no","unknown",5,"may",125
50,"technician","single","tertiary","no",339,"yes","no","unknown",5,"may",2
32,"blue-collar","married","secondary","no",1331,"yes","no","unknown",5,"may",286
40,"self-employed","married","secondary","no",672,"yes","no","unknown",5,"may",164
37,"management","married","tertiary","no",58,"yes","no","unknown",5,"may",98
54,"technician","single","unknown","no",447,"yes","no","unknown",5,"may",742
24,"student","single","secondary","no",423,"yes","no","unknown",5,"may",226
54,"management","married","tertiary","no",0,"no","no","unknown",5,"may",120
34,"technician","married","secondary","no",19,"yes","no","unknown",5,"may",362
56,"technician","divorced","primary","no",13,"yes","no","unknown",5,"may",357
31,"blue-collar","single","secondary","no",3,"yes","no","unknown",5,"may",200
24,"student","single","secondary","no",82,"yes","no","unknown",5,"may",204
42,"blue-collar","divorced","primary","no",28,"yes","no","unknown",5,"may",126
57,"technician","married","secondary","no",792,"yes","no","unknown",5,"may",65
42,"blue-collar","married","unknown","no",408,"yes","no","unknown",5,"may",107
51,"admin.","married","secondary","no",531,"yes","no","unknown",5,"may",267
57,"retired","married","secondary","no",211,"yes","no","unknown",5,"may",248
36,"services","single","secondary","no",62,"yes","no","unknown",5,"may",215
53,"services","married","unknown","no",257,"yes","no","unknown",5,"may",209
50,"technician","married","secondary","no",1234,"yes","no","unknown",5,"may",205
54,"management","married","tertiary","no",313,"yes","no","unknown",5,"may",83
55,"blue-collar","married","secondary","no",89,"yes","no","unknown",5,"may",106
44,"blue-collar","married","secondary","no",129,"yes","yes","unknown",5,"may",189
43,"management","married","unknown","no",0,"yes","no","unknown",5,"may",105
56,"admin.","married","secondary","no",353,"yes","no","unknown",5,"may",106
54,"technician","married","unknown","no",851,"yes","no","unknown",5,"may",108
55,"services","divorced","primary","no",96,"yes","yes","unknown",5,"may",311
37,"services","divorced","secondary","no",398,"yes","yes","unknown",5,"may",214
33,"admin.","single","tertiary","no",193,"no","no","unknown",5,"may",132
46,"admin.","married","secondary","no",-358,"yes","no","unknown",5,"may",358
36,"blue-collar","married","secondary","no",539,"yes","yes","unknown",5,"may",453
51,"technician","single","secondary","no",0,"yes","no","unknown",5,"may",364
40,"retired","single","primary","no",0,"no","no","unknown",5,"may",136
42,"blue-collar","married","secondary","no",490,"yes","no","unknown",5,"may",386
51,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",173
49,"blue-collar","married","unknown","no",403,"yes","no","unknown",5,"may",241
48,"management","married","secondary","no",161,"yes","no","unknown",5,"may",224
32,"technician","divorced","tertiary","no",2558,"no","no","unknown",5,"may",148
31,"admin.","single","secondary","no",98,"yes","no","unknown",5,"may",196
55,"management","single","tertiary","no",115,"no","no","unknown",5,"may",111
40,"blue-collar","single","secondary","no",436,"yes","no","unknown",5,"may",231
47,"technician","married","tertiary","no",831,"yes","no","unknown",5,"may",316
57,"technician","married","unknown","no",206,"yes","no","unknown",5,"may",216
41,"blue-collar","married","secondary","no",290,"yes","no","unknown",5,"may",240
48,"blue-collar","married","secondary","no",1,"no","no","unknown",5,"may",669
42,"blue-collar","married","unknown","no",57,"yes","no","unknown",5,"may",425
30,"blue-collar","single","secondary","no",-457,"yes","no","unknown",5,"may",143
58,"management","single","tertiary","no",1387,"yes","no","unknown",5,"may",174
45,"management","divorced","tertiary","no",24598,"yes","no","unknown",5,"may",313
49,"blue-collar","married","secondary","no",30,"yes","no","unknown",5,"may",135
42,"admin.","single","secondary","no",1022,"yes","no","unknown",5,"may",146
53,"technician","married","secondary","no",56,"yes","yes","unknown",5,"may",152
51,"admin.","single","secondary","yes",-2,"no","no","unknown",5,"may",402
32,"services","single","secondary","no",121,"yes","no","unknown",5,"may",213
41,"blue-collar","single","secondary","no",842,"yes","no","unknown",5,"may",144
43,"management","divorced","secondary","no",693,"yes","no","unknown",5,"may",124
40,"blue-collar","divorced","secondary","no",-333,"yes","no","unknown",5,"may",183
50,"blue-collar","married","primary","no",1533,"yes","no","unknown",5,"may",325
34,"management","married","tertiary","no",46,"yes","no","unknown",5,"may",39
53,"services","married","unknown","no",18,"no","no","unknown",5,"may",503
45,"technician","married","secondary","no",44,"yes","no","unknown",5,"may",95
39,"blue-collar","married","primary","no",-100,"yes","no","unknown",5,"may",680
44,"services","married","tertiary","no",510,"yes","no","unknown",5,"may",421
55,"management","married","tertiary","no",685,"yes","no","unknown",5,"may",174
46,"management","single","tertiary","no",187,"yes","no","unknown",5,"may",113
45,"blue-collar","married","secondary","no",66,"yes","no","unknown",5,"may",808
34,"admin.","married","secondary","no",560,"yes","no","unknown",5,"may",198
36,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",195
59,"unknown","divorced","unknown","no",27,"no","no","unknown",5,"may",347
31,"admin.","single","secondary","no",12,"yes","no","unknown",5,"may",208
44,"blue-collar","single","secondary","no",34,"yes","no","unknown",5,"may",404
33,"entrepreneur","single","tertiary","no",1068,"yes","no","unknown",5,"may",396
40,"blue-collar","married","secondary","no",211,"yes","no","unknown",5,"may",216
46,"admin.","single","tertiary","no",377,"yes","no","unknown",5,"may",98
48,"management","married","tertiary","no",263,"yes","no","unknown",5,"may",350
42,"services","married","secondary","no",1263,"yes","no","unknown",6,"may",114
27,"services","married","secondary","no",8,"yes","no","unknown",6,"may",88
48,"admin.","married","secondary","no",126,"yes","yes","unknown",6,"may",379
59,"admin.","married","secondary","no",230,"yes","no","unknown",6,"may",190
46,"technician","married","tertiary","no",841,"yes","no","unknown",6,"may",158
38,"admin.","divorced","secondary","no",308,"yes","no","unknown",6,"may",102
43,"management","divorced","tertiary","no",1,"yes","no","unknown",6,"may",306
38,"admin.","divorced","tertiary","no",86,"yes","no","unknown",6,"may",218
23,"student","single","secondary","no",157,"yes","no","unknown",6,"may",54
34,"services","married","secondary","no",22,"yes","no","unknown",6,"may",344
38,"admin.","married","secondary","no",46,"yes","yes","unknown",6,"may",195
37,"blue-collar","married","secondary","no",1293,"no","no","unknown",6,"may",652
25,"admin.","single","secondary","no",122,"yes","no","unknown",6,"may",286
48,"blue-collar","married","unknown","no",131,"yes","no","unknown",6,"may",189
49,"blue-collar","single","secondary","no",143,"yes","no","unknown",6,"may",83
38,"admin.","single","secondary","no",393,"no","no","unknown",6,"may",184
43,"blue-collar","married","primary","no",98,"yes","no","unknown",6,"may",235
33,"management","married","tertiary","no",0,"yes","no","unknown",6,"may",290
55,"blue-collar","married","secondary","no",224,"yes","no","unknown",6,"may",232
38,"blue-collar","married","secondary","no",757,"yes","no","unknown",6,"may",133
49,"services","married","secondary","no",245,"yes","yes","unknown",6,"may",318
40,"management","married","secondary","no",8486,"no","no","unknown",6,"may",260
43,"admin.","married","unknown","no",350,"no","no","unknown",6,"may",437
38,"blue-collar","married","secondary","no",20,"yes","no","unknown",6,"may",402
58,"services","married","secondary","no",1667,"yes","yes","unknown",6,"may",85
57,"technician","married","unknown","no",345,"yes","no","unknown",6,"may",125
32,"unemployed","married","secondary","no",10,"yes","no","unknown",6,"may",501
56,"management","married","tertiary","no",830,"yes","yes","unknown",6,"may",1201
58,"blue-collar","divorced","unknown","no",29,"yes","no","unknown",6,"may",253
60,"retired","divorced","secondary","no",545,"yes","no","unknown",6,"may",1030
37,"technician","married","tertiary","no",8730,"yes","no","unknown",6,"may",149
46,"technician","divorced","tertiary","no",477,"yes","no","unknown",6,"may",114
27,"admin.","married","secondary","no",4,"yes","no","unknown",6,"may",243
43,"blue-collar","married","secondary","no",1205,"yes","no","unknown",6,"may",769
32,"technician","single","secondary","no",0,"yes","yes","unknown",6,"may",135
40,"admin.","single","secondary","no",263,"yes","no","unknown",6,"may",231
38,"admin.","married","secondary","no",1,"no","no","unknown",6,"may",76
34,"blue-collar","married","secondary","no",283,"no","yes","unknown",6,"may",199
47,"blue-collar","married","primary","no",206,"yes","no","unknown",6,"may",152
42,"housemaid","married","primary","no",17,"yes","no","unknown",6,"may",124
48,"technician","married","secondary","no",141,"yes","yes","unknown",6,"may",424
29,"self-employed","single","tertiary","no",16,"yes","no","unknown",6,"may",43
50,"services","married","secondary","no",206,"yes","no","unknown",6,"may",154
