DATAFLOW,LAST UPDATE,freq,c_birth,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Estonia,2022,1331796,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Greece,2013,11003615,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Greece,2022,10459782,b,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Spain,2013,46712650,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Spain,2022,47486843,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Finland,2013,5426674,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Finland,2022,5548241,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,France,2013,65600350,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,France,2022,68091703,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Croatia,2013,4247803,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Croatia,2022,3862305,b,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Hungary,2013,9895250,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Hungary,2022,9610403,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Ireland,2013,4609779,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Ireland,2022,5154277,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Iceland,2013,321857,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Iceland,2022,376248,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Italy,2013,60277309,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Italy,2022,59030133,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Liechtenstein,2013,36838,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Liechtenstein,2022,39308,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Lithuania,2013,2974637,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Lithuania,2022,2805998,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Luxembourg,2013,537039,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Luxembourg,2022,645397,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Latvia,2013,2023825,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Latvia,2022,1875757,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Montenegro,2022,617683,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,North Macedonia,2022,1837114,b,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Malta,2013,421464,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Malta,2022,520174,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Netherlands,2013,16779575,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Netherlands,2022,17590672,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Norway,2013,5051275,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Norway,2022,5425270,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Poland,2013,38062535,p,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Poland,2022,36889761,ep,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Portugal,2013,10503889,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Portugal,2022,10421117,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Romania,2013,20020074,b,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Serbia,2022,6797105,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Sweden,2013,9555893,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Sweden,2022,10452326,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Slovenia,2013,2058821,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Slovenia,2022,2107180,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Slovakia,2013,5410836,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Slovakia,2022,5434712,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,Ukraine,2022,40997698,,
ESTAT:MIGR_POP3CTB(1.0),31/03/25 23:00:00,Annual,Total,Total,Number,Total,United Kingdom,2013,63905342,,
